band_key,section,row,eye_elev_navd88,clear_pct_terrain,clear_pct_terrain_stage,clear_pct_terrain_stage_city,delta_stage_pct,delta_city_pct
east r1,east,1,614.8,0.0,0.0,0.0,0.0,0.0
east r2,east,2,615.8,0.0,0.0,0.0,0.0,0.0
east r3,east,3,616.97,0.0,0.0,0.0,0.0,0.0
east r4,east,4,618.13,0.0,0.0,0.0,0.0,0.0
east r6,east,6,620.68,0.0,0.0,0.0,0.0,0.0
east r7,east,7,621.98,2.6,2.6,2.6,0.0,0.0
east r8,east,8,623.25,18.0,18.0,18.0,0.0,0.0
east r11,east,11,627.31,97.4,97.4,61.5,0.0,35.9
east r12,east,12,628.75,100.0,100.0,61.5,0.0,38.5
east r13,east,13,630.25,100.0,100.0,61.5,0.0,38.5
east r14,east,14,631.81,100.0,100.0,53.8,0.0,46.2
east r15,east,15,633.32,100.0,100.0,53.8,0.0,46.2
east r16,east,16,634.69,100.0,100.0,51.3,0.0,48.7
east r17,east,17,636.21,100.0,100.0,46.2,0.0,53.8
east r18,east,18,637.61,100.0,100.0,46.2,0.0,53.8
bend r1,bend,1,614.77,0.0,0.0,0.0,0.0,0.0
bend r2,bend,2,615.8,0.0,0.0,0.0,0.0,0.0
bend r3,bend,3,616.97,0.0,0.0,0.0,0.0,0.0
bend r4,bend,4,618.11,0.0,0.0,0.0,0.0,0.0
bend r6,bend,6,620.66,28.2,28.2,28.2,0.0,0.0
bend r7,bend,7,621.96,48.7,48.7,48.7,0.0,0.0
bend r8,bend,8,623.25,69.2,69.2,69.2,0.0,0.0
bend r11,bend,11,627.34,100.0,100.0,97.4,0.0,2.6
bend r12,bend,12,628.72,100.0,100.0,97.4,0.0,2.6
bend r13,bend,13,630.24,100.0,100.0,94.9,0.0,5.1
bend r14,bend,14,631.74,100.0,100.0,94.9,0.0,5.1
bend r15,bend,15,633.28,100.0,100.0,94.9,0.0,5.1
bend r16,bend,16,634.69,100.0,100.0,92.3,0.0,7.7
bend r17,bend,17,636.18,100.0,100.0,92.3,0.0,7.7
bend r18,bend,18,637.6,100.0,100.0,89.7,0.0,10.3
south r1,south,1,614.75,0.0,0.0,0.0,0.0,0.0
south r2,south,2,615.81,0.0,0.0,0.0,0.0,0.0
south r3,south,3,616.97,0.0,0.0,0.0,0.0,0.0
south r4,south,4,618.13,0.0,0.0,0.0,0.0,0.0
south r6,south,6,620.67,89.7,89.7,89.7,0.0,0.0
south r7,south,7,622.0,100.0,100.0,100.0,0.0,0.0
south r8,south,8,623.24,100.0,100.0,100.0,0.0,0.0
south r11,south,11,627.32,100.0,100.0,100.0,0.0,0.0
south r12,south,12,628.74,100.0,100.0,100.0,0.0,0.0
south r13,south,13,630.24,100.0,100.0,100.0,0.0,0.0
south r14,south,14,631.78,100.0,100.0,100.0,0.0,0.0
south r15,south,15,633.28,100.0,100.0,100.0,0.0,0.0
south r16,south,16,634.69,100.0,100.0,100.0,0.0,0.0
south r17,south,17,636.24,100.0,100.0,100.0,0.0,0.0
south r18,south,18,637.61,100.0,100.0,100.0,0.0,0.0
