band_key,section,row,eye_elev_navd88,clear_S0,verdict_S0,clear_S1,verdict_S1,clear_S2_leafoff,verdict_S2_leafoff,clear_S2_leafon,verdict_S2_leafon,binding_S0,binding_S1,binding_S2_leafoff,binding_S2_leafon
east r1,east,1,614.8,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r2,east,2,615.8,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r3,east,3,616.97,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r4,east,4,618.13,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r6,east,6,620.68,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r7,east,7,621.98,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r8,east,8,623.25,7.7,blocked,7.7,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r11,east,11,627.31,92.3,acceptable,69.2,marginal,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r12,east,12,628.75,100.0,acceptable,69.2,marginal,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r13,east,13,630.25,100.0,acceptable,69.2,marginal,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r14,east,14,631.81,100.0,acceptable,53.8,marginal,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r15,east,15,633.32,100.0,acceptable,61.5,marginal,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r16,east,16,634.69,100.0,acceptable,61.5,marginal,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
east r17,east,17,636.21,100.0,acceptable,53.8,marginal,0.0,blocked,0.0,blocked,terrain,city,canopy,canopy
east r18,east,18,637.61,100.0,acceptable,53.8,marginal,7.7,blocked,7.7,blocked,terrain,city,canopy,canopy
bend r1,bend,1,614.77,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,terrain,canopy
bend r2,bend,2,615.8,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
bend r3,bend,3,616.97,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
bend r4,bend,4,618.11,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
bend r6,bend,6,620.66,23.1,blocked,23.1,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
bend r7,bend,7,621.96,38.5,blocked,38.5,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
bend r8,bend,8,623.25,61.5,marginal,61.5,marginal,23.1,blocked,23.1,blocked,terrain,terrain,canopy,canopy
bend r11,bend,11,627.34,100.0,acceptable,100.0,acceptable,23.1,blocked,15.4,blocked,terrain,terrain,canopy,canopy
bend r12,bend,12,628.72,100.0,acceptable,100.0,acceptable,23.1,blocked,15.4,blocked,terrain,terrain,canopy,canopy
bend r13,bend,13,630.24,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
bend r14,bend,14,631.74,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
bend r15,bend,15,633.28,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
bend r16,bend,16,634.69,100.0,acceptable,100.0,acceptable,46.2,marginal,38.5,blocked,terrain,terrain,canopy,canopy
bend r17,bend,17,636.18,100.0,acceptable,100.0,acceptable,46.2,marginal,38.5,blocked,terrain,terrain,canopy,canopy
bend r18,bend,18,637.6,100.0,acceptable,100.0,acceptable,53.8,marginal,46.2,marginal,terrain,terrain,canopy,canopy
south r1,south,1,614.75,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
south r2,south,2,615.81,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
south r3,south,3,616.97,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
south r4,south,4,618.13,0.0,blocked,0.0,blocked,0.0,blocked,0.0,blocked,terrain,terrain,canopy,canopy
south r6,south,6,620.67,76.9,marginal,76.9,marginal,7.7,blocked,0.0,blocked,terrain,terrain,canopy,canopy
south r7,south,7,622.0,100.0,acceptable,100.0,acceptable,38.5,blocked,23.1,blocked,terrain,terrain,canopy,canopy
south r8,south,8,623.24,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r11,south,11,627.32,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r12,south,12,628.74,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r13,south,13,630.24,100.0,acceptable,100.0,acceptable,30.8,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r14,south,14,631.78,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r15,south,15,633.28,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r16,south,16,634.69,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r17,south,17,636.24,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
south r18,south,18,637.61,100.0,acceptable,100.0,acceptable,38.5,blocked,30.8,blocked,terrain,terrain,canopy,canopy
