band_key,section,row,tread_elev_navd88,eye_elev_navd88,sees_bay_elevation_threshold,horizon_deg,sil_mean_deg_corridor,clear_pct_mean,terrain_blocked_pct_mean,verdict,obstruction_source
east r1,east,1,610.86,614.8,False,-0.105,2.971,0.0,100.0,blocked,terrain_rim
east r2,east,2,611.86,615.8,False,-0.107,2.694,0.0,100.0,blocked,terrain_rim
east r3,east,3,613.03,616.97,False,-0.109,2.327,0.0,100.0,blocked,terrain_rim
east r4,east,4,614.19,618.13,False,-0.11,1.982,0.0,100.0,blocked,terrain_rim
east r6,east,6,616.74,620.68,True,-0.114,1.187,0.0,100.0,blocked,terrain_rim
east r7,east,7,618.04,621.98,True,-0.116,0.786,2.6,97.4,blocked,terrain_rim
east r8,east,8,619.31,623.25,True,-0.117,0.4,18.0,82.0,blocked,terrain_rim
east r11,east,11,623.37,627.31,True,-0.123,-0.797,97.4,2.6,acceptable,none
east r12,east,12,624.81,628.75,True,-0.124,-1.197,100.0,0.0,acceptable,none
east r13,east,13,626.31,630.25,True,-0.126,-1.584,100.0,0.0,acceptable,none
east r14,east,14,627.87,631.81,True,-0.128,-1.93,100.0,0.0,acceptable,none
east r15,east,15,629.38,633.32,True,-0.13,-2.232,100.0,0.0,acceptable,none
east r16,east,16,630.75,634.69,True,-0.132,-2.523,100.0,0.0,acceptable,none
east r17,east,17,632.27,636.21,True,-0.134,-2.811,100.0,0.0,acceptable,none
east r18,east,18,633.67,637.61,True,-0.135,-3.052,100.0,0.0,acceptable,none
bend r1,bend,1,610.83,614.77,False,-0.105,1.775,0.0,100.0,blocked,terrain_rim
bend r2,bend,2,611.86,615.8,False,-0.107,1.483,0.0,100.0,blocked,terrain_rim
bend r3,bend,3,613.03,616.97,False,-0.109,1.164,0.0,100.0,blocked,terrain_rim
bend r4,bend,4,614.17,618.11,False,-0.11,0.865,0.0,100.0,blocked,terrain_rim
bend r6,bend,6,616.72,620.66,True,-0.114,0.242,28.2,71.8,blocked,terrain_rim
bend r7,bend,7,618.02,621.96,True,-0.116,-0.052,48.7,51.3,marginal,terrain_rim
bend r8,bend,8,619.31,623.25,True,-0.117,-0.331,69.2,30.8,marginal,terrain_rim
bend r11,bend,11,623.4,627.34,True,-0.123,-1.134,100.0,0.0,acceptable,none
bend r12,bend,12,624.78,628.72,True,-0.124,-1.372,100.0,0.0,acceptable,none
bend r13,bend,13,626.3,630.24,True,-0.126,-1.609,100.0,0.0,acceptable,none
bend r14,bend,14,627.8,631.74,True,-0.128,-1.823,100.0,0.0,acceptable,none
bend r15,bend,15,629.34,633.28,True,-0.13,-2.024,100.0,0.0,acceptable,none
bend r16,bend,16,630.75,634.69,True,-0.132,-2.202,100.0,0.0,acceptable,none
bend r17,bend,17,632.24,636.18,True,-0.133,-2.403,100.0,0.0,acceptable,none
bend r18,bend,18,633.66,637.6,True,-0.135,-2.57,100.0,0.0,acceptable,none
south r1,south,1,610.81,614.75,False,-0.105,1.193,0.0,100.0,blocked,terrain_rim
south r2,south,2,611.87,615.81,False,-0.107,0.866,0.0,100.0,blocked,terrain_rim
south r3,south,3,613.03,616.97,False,-0.109,0.535,0.0,100.0,blocked,terrain_rim
south r4,south,4,614.19,618.13,False,-0.11,0.234,0.0,100.0,blocked,terrain_rim
south r6,south,6,616.73,620.67,True,-0.114,-0.323,89.7,10.3,acceptable,terrain_rim
south r7,south,7,618.06,622.0,True,-0.116,-0.581,100.0,0.0,acceptable,none
south r8,south,8,619.3,623.24,True,-0.117,-0.805,100.0,0.0,acceptable,none
south r11,south,11,623.38,627.32,True,-0.123,-1.484,100.0,0.0,acceptable,none
south r12,south,12,624.8,628.74,True,-0.124,-1.708,100.0,0.0,acceptable,none
south r13,south,13,626.3,630.24,True,-0.126,-1.936,100.0,0.0,acceptable,none
south r14,south,14,627.84,631.78,True,-0.128,-2.165,100.0,0.0,acceptable,none
south r15,south,15,629.34,633.28,True,-0.13,-2.384,100.0,0.0,acceptable,none
south r16,south,16,630.75,634.69,True,-0.132,-2.594,100.0,0.0,acceptable,none
south r17,south,17,632.3,636.24,True,-0.134,-2.81,100.0,0.0,acceptable,none
south r18,south,18,633.67,637.61,True,-0.135,-2.999,100.0,0.0,acceptable,none
