s_m,s_ft,z_m_navd88,z_ft_navd88
-35.00,-114.83,247.503,812.019
-34.50,-113.19,247.545,812.155
-34.00,-111.55,247.580,812.269
-33.50,-109.91,247.608,812.361
-33.00,-108.27,247.598,812.329
-32.50,-106.63,247.579,812.266
-32.00,-104.99,247.511,812.045
-31.50,-103.35,247.429,811.777
-31.00,-101.71,247.320,811.417
-30.50,-100.07,247.199,811.021
-30.00,-98.43,247.059,810.560
-29.50,-96.78,246.910,810.073
-29.00,-95.14,246.801,809.715
-28.50,-93.50,246.744,809.527
-28.00,-91.86,246.710,809.415
-27.50,-90.22,246.700,809.383
-27.00,-88.58,246.690,809.350
-26.50,-86.94,246.689,809.346
-26.00,-85.30,246.691,809.352
-25.50,-83.66,246.689,809.349
-25.00,-82.02,246.687,809.340
-24.50,-80.38,246.690,809.351
-24.00,-78.74,246.694,809.363
-23.50,-77.10,246.721,809.452
-23.00,-75.46,246.752,809.554
-22.50,-73.82,246.833,809.819
-22.00,-72.18,246.950,810.203
-21.50,-70.54,247.081,810.634
-21.00,-68.90,247.225,811.105
-20.50,-67.26,247.367,811.573
-20.00,-65.62,247.506,812.029
-19.50,-63.98,247.641,812.469
-19.00,-62.34,247.740,812.794
-18.50,-60.70,247.823,813.066
-18.00,-59.06,247.831,813.095
-17.50,-57.41,247.833,813.100
-17.00,-55.77,247.812,813.030
-16.50,-54.13,247.788,812.951
-16.00,-52.49,247.764,812.873
-15.50,-50.85,247.740,812.795
-15.00,-49.21,247.715,812.714
-14.50,-47.57,247.690,812.632
-14.00,-45.93,247.665,812.550
-13.50,-44.29,247.641,812.470
-13.00,-42.65,247.621,812.406
-12.50,-41.01,247.601,812.340
-12.00,-39.37,247.580,812.270
-11.50,-37.73,247.559,812.201
-11.00,-36.09,247.537,812.128
-10.50,-34.45,247.518,812.066
-10.00,-32.81,247.507,812.030
-9.50,-31.17,247.496,811.994
-9.00,-29.53,247.484,811.955
-8.50,-27.89,247.471,811.914
-8.00,-26.25,247.458,811.870
-7.50,-24.61,247.451,811.848
-7.00,-22.97,247.446,811.830
-6.50,-21.33,247.439,811.809
-6.00,-19.69,247.432,811.785
-5.50,-18.04,247.421,811.750
-5.00,-16.40,247.405,811.697
-4.50,-14.76,247.378,811.609
-4.00,-13.12,247.350,811.517
-3.50,-11.48,247.322,811.423
-3.00,-9.84,247.290,811.319
-2.50,-8.20,247.258,811.214
-2.00,-6.56,247.230,811.122
-1.50,-4.92,247.203,811.035
-1.00,-3.28,247.194,811.003
-0.50,-1.64,247.191,810.994
0.00,0.00,247.192,810.999
0.50,1.64,247.194,811.005
1.00,3.28,247.198,811.016
1.50,4.92,247.201,811.027
2.00,6.56,247.208,811.050
2.50,8.20,247.224,811.102
3.00,9.84,247.249,811.183
3.50,11.48,247.300,811.351
4.00,13.12,247.359,811.544
4.50,14.76,247.428,811.773
5.00,16.40,247.495,811.991
5.50,18.04,247.556,812.191
6.00,19.69,247.612,812.375
6.50,21.33,247.674,812.580
7.00,22.97,247.740,812.797
7.50,24.61,247.813,813.034
8.00,26.25,247.888,813.280
8.50,27.89,247.960,813.517
9.00,29.53,248.029,813.744
9.50,31.17,248.098,813.969
10.00,32.81,248.165,814.189
10.50,34.45,248.229,814.400
11.00,36.09,248.290,814.599
11.50,37.73,248.359,814.828
12.00,39.37,248.488,815.248
12.50,41.01,248.617,815.671
13.00,42.65,248.696,815.932
13.50,44.29,248.765,816.160
14.00,45.93,248.828,816.365
14.50,47.57,248.891,816.572
15.00,49.21,249.001,816.931
15.50,50.85,249.126,817.343
16.00,52.49,249.223,817.660
16.50,54.13,249.293,817.891
17.00,55.77,249.382,818.184
17.50,57.41,249.516,818.621
18.00,59.06,249.654,819.076
18.50,60.70,249.773,819.464
19.00,62.34,249.875,819.801
19.50,63.98,249.932,819.988
20.00,65.62,249.989,820.175
20.50,67.26,250.050,820.375
21.00,68.90,250.111,820.574
21.50,70.54,250.185,820.817
22.00,72.18,250.264,821.075
22.50,73.82,250.337,821.315
23.00,75.46,250.406,821.543
23.50,77.10,250.466,821.739
24.00,78.74,250.507,821.874
24.50,80.38,250.527,821.940
25.00,82.02,250.516,821.904
25.50,83.66,250.507,821.874
26.00,85.30,250.518,821.911
26.50,86.94,250.537,821.972
27.00,88.58,250.596,822.164
27.50,90.22,250.662,822.382
28.00,91.86,250.807,822.856
28.50,93.50,250.967,823.381
29.00,95.14,251.063,823.697
29.50,96.78,251.134,823.932
30.00,98.43,251.167,824.039
30.50,100.07,251.182,824.089
31.00,101.71,251.203,824.156
31.50,103.35,251.225,824.230
32.00,104.99,251.230,824.244
32.50,106.63,251.214,824.194
33.00,108.27,251.195,824.129
33.50,109.91,251.156,824.002
34.00,111.55,251.100,823.821
34.50,113.19,250.998,823.486
35.00,114.83,250.901,823.167
35.50,116.47,250.878,823.091
36.00,118.11,250.867,823.054
36.50,119.75,250.943,823.305
37.00,121.39,251.038,823.617
37.50,123.03,251.158,824.009
38.00,124.67,251.276,824.397
38.50,126.31,251.343,824.616
39.00,127.95,251.367,824.695
39.50,129.59,251.372,824.712
40.00,131.23,251.364,824.687
40.50,132.87,251.363,824.682
41.00,134.51,251.370,824.705
41.50,136.15,251.374,824.716
42.00,137.80,251.366,824.691
42.50,139.44,251.352,824.646
43.00,141.08,251.341,824.610
43.50,142.72,251.332,824.581
44.00,144.36,251.317,824.530
44.50,146.00,251.302,824.481
45.00,147.64,251.274,824.391
45.50,149.28,251.239,824.275
46.00,150.92,251.210,824.179
46.50,152.56,251.186,824.101
47.00,154.20,251.166,824.034
47.50,155.84,251.150,823.982
48.00,157.48,251.139,823.947
48.50,159.12,251.132,823.923
49.00,160.76,251.120,823.883
49.50,162.40,251.099,823.817
50.00,164.04,251.082,823.759
50.50,165.68,251.072,823.726
51.00,167.32,251.061,823.690
51.50,168.96,251.081,823.757
52.00,170.60,251.096,823.806
52.50,172.24,251.107,823.842
53.00,173.88,251.116,823.872
53.50,175.52,251.115,823.868
54.00,177.17,251.112,823.857
54.50,178.81,251.100,823.820
55.00,180.45,251.078,823.745
55.50,182.09,251.057,823.678
56.00,183.73,251.040,823.622
56.50,185.37,251.023,823.567
57.00,187.01,251.008,823.517
57.50,188.65,250.993,823.469
58.00,190.29,250.980,823.424
58.50,191.93,250.970,823.394
59.00,193.57,250.970,823.394
59.50,195.21,250.974,823.405
60.00,196.85,250.969,823.388
60.50,198.49,250.960,823.359
61.00,200.13,250.951,823.331
61.50,201.77,250.942,823.299
62.00,203.41,250.930,823.262
62.50,205.05,250.921,823.232
63.00,206.69,250.919,823.224
63.50,208.33,250.922,823.235
64.00,209.97,250.925,823.246
64.50,211.61,250.933,823.272
65.00,213.25,250.942,823.302
65.50,214.90,250.935,823.277
66.00,216.54,250.928,823.254
66.50,218.18,250.925,823.244
67.00,219.82,250.922,823.234
67.50,221.46,250.923,823.240
68.00,223.10,250.927,823.253
68.50,224.74,250.930,823.260
69.00,226.38,250.930,823.261
69.50,228.02,250.926,823.248
70.00,229.66,250.919,823.225
70.50,231.30,250.912,823.202
71.00,232.94,250.905,823.180
71.50,234.58,250.902,823.171
72.00,236.22,250.905,823.181
72.50,237.86,250.907,823.187
73.00,239.50,250.901,823.166
73.50,241.14,250.891,823.134
74.00,242.78,250.890,823.129
74.50,244.42,250.889,823.126
75.00,246.06,250.887,823.121
75.50,247.70,250.886,823.118
76.00,249.34,250.887,823.121
76.50,250.98,250.890,823.129
77.00,252.62,250.890,823.130
77.50,254.27,250.890,823.129
78.00,255.91,250.886,823.116
78.50,257.55,250.873,823.074
79.00,259.19,250.861,823.036
79.50,260.83,250.861,823.035
80.00,262.47,250.862,823.038
80.50,264.11,250.865,823.046
81.00,265.75,250.870,823.065
81.50,267.39,250.871,823.068
82.00,269.03,250.875,823.081
82.50,270.67,250.885,823.114
83.00,272.31,250.896,823.150
83.50,273.95,250.900,823.164
84.00,275.59,250.896,823.148
84.50,277.23,250.884,823.109
85.00,278.87,250.862,823.039
85.50,280.51,250.844,822.978
86.00,282.15,250.831,822.938
86.50,283.79,250.821,822.904
87.00,285.43,250.816,822.888
87.50,287.07,250.811,822.872
88.00,288.71,250.808,822.860
88.50,290.35,250.803,822.844
89.00,291.99,250.822,822.908
89.50,293.64,250.846,822.986
90.00,295.28,250.875,823.082
90.50,296.92,250.901,823.167
91.00,298.56,250.889,823.126
91.50,300.20,250.861,823.035
92.00,301.84,250.830,822.934
92.50,303.48,250.799,822.832
93.00,305.12,250.777,822.760
93.50,306.76,250.770,822.736
94.00,308.40,250.764,822.715
94.50,310.04,250.762,822.711
95.00,311.68,250.761,822.707
95.50,313.32,250.758,822.696
96.00,314.96,250.756,822.690
96.50,316.60,250.751,822.675
97.00,318.24,250.746,822.656
97.50,319.88,250.739,822.634
98.00,321.52,250.734,822.619
98.50,323.16,250.729,822.601
99.00,324.80,250.719,822.569
99.50,326.44,250.712,822.547
100.00,328.08,250.710,822.538
100.50,329.72,250.710,822.540
101.00,331.36,250.715,822.557
101.50,333.01,250.718,822.567
102.00,334.65,250.708,822.533
102.50,336.29,250.698,822.500
103.00,337.93,250.684,822.453
103.50,339.57,250.673,822.418
104.00,341.21,250.653,822.351
104.50,342.85,250.628,822.269
105.00,344.49,250.595,822.163
105.50,346.13,250.567,822.071
106.00,347.77,250.556,822.035
106.50,349.41,250.555,822.031
107.00,351.05,250.554,822.027
107.50,352.69,250.553,822.024
108.00,354.33,250.556,822.036
108.50,355.97,250.563,822.058
109.00,357.61,250.571,822.084
109.50,359.25,250.577,822.102
110.00,360.89,250.581,822.116
