row,zone,kind,section,elev,axis_radius_ft,length_ft,seats,cross_angle_deg,z_resid_ft,C_mm,sees_bay
1,forecourt,seating,east,610.86,85.0,37.1,16,5.6,0.12,,False
1,forecourt,seating,bend,610.83,85.0,44.4,19,9.5,0.17,,False
1,forecourt,seating,south,610.81,85.0,50.1,22,2.2,0.07,,False
2,forecourt,seating,east,611.86,89.7,40.2,18,1.3,0.13,198,False
2,forecourt,seating,bend,611.86,89.7,47.4,21,8.3,0.23,198,False
2,forecourt,seating,south,611.87,89.7,53.0,23,2.4,0.13,198,False
3,forecourt,seating,east,613.03,94.0,42.3,18,2.2,0.21,220,False
3,forecourt,seating,bend,613.03,94.0,50.1,22,7.3,0.28,220,False
3,forecourt,seating,south,613.03,94.0,56.8,25,2.4,0.1,220,False
4,forecourt,seating,east,614.19,98.1,43.6,19,2.2,0.21,207,False
4,forecourt,seating,bend,614.17,98.1,51.7,23,7.8,0.2,207,False
4,forecourt,seating,south,614.19,98.1,60.0,26,2.7,0.17,207,False
5,civic,promenade,east,615.48,101.8,45.6,0,1.6,0.19,,True
5,civic,promenade,bend,615.41,101.8,53.7,0,5.4,0.26,,True
5,civic,promenade,south,615.46,101.8,62.1,0,3.0,0.21,,True
6,civic,seating,east,616.74,105.8,48.6,21,2.1,0.27,436,True
6,civic,seating,bend,616.72,105.8,55.5,24,4.6,0.22,436,True
6,civic,seating,south,616.73,105.8,65.1,29,2.6,0.14,436,True
7,civic,seating,east,618.04,109.5,50.7,22,1.8,0.24,211,True
7,civic,seating,bend,618.02,109.5,57.3,25,4.4,0.23,211,True
7,civic,seating,south,618.06,109.5,67.1,30,1.5,0.16,211,True
8,civic,seating,east,619.31,113.4,51.7,23,1.3,0.17,189,True
8,civic,seating,bend,619.31,113.4,59.0,26,5.8,0.25,189,True
8,civic,seating,south,619.3,113.4,70.2,31,1.6,0.16,189,True
9,civic,seating,east,620.58,117.1,53.5,23,1.7,0.2,188,True
9,civic,seating,bend,620.61,117.1,60.7,27,6.3,0.24,188,True
9,civic,seating,south,620.59,117.1,73.1,32,1.6,0.16,188,True
10,civic,seating,east,621.97,121.4,55.8,25,2.2,0.18,180,True
10,civic,seating,bend,621.97,121.4,62.9,28,5.0,0.18,180,True
10,civic,seating,south,621.97,121.4,76.1,34,2.3,0.15,180,True
11,civic,seating,east,623.37,125.6,57.8,25,2.0,0.22,176,True
11,civic,seating,bend,623.4,125.6,64.8,29,4.8,0.18,176,True
11,civic,seating,south,623.38,125.6,78.1,34,2.0,0.16,176,True
12,civic,seating,east,624.81,129.7,59.8,26,1.9,0.22,172,True
12,civic,seating,bend,624.78,129.7,66.9,29,4.4,0.23,172,True
12,civic,seating,south,624.8,129.7,81.2,36,2.2,0.22,172,True
13,civic,seating,east,626.31,133.9,61.9,27,1.8,0.21,192,True
13,civic,seating,bend,626.3,133.9,69.7,31,3.5,0.16,192,True
13,civic,seating,south,626.3,133.9,84.1,37,2.8,0.23,192,True
14,civic,seating,east,627.87,138.6,64.0,28,2.0,0.19,152,True
14,civic,seating,bend,627.8,138.6,72.4,32,3.8,0.16,152,True
14,civic,seating,south,627.84,138.6,87.2,39,2.7,0.17,152,True
15,civic,seating,east,629.38,143.3,65.9,29,2.2,0.22,144,True
15,civic,seating,bend,629.34,143.3,75.3,33,4.1,0.21,144,True
15,civic,seating,south,629.34,143.3,90.2,40,1.9,0.19,144,True
16,civic,seating,east,630.75,147.4,69.0,30,2.7,0.21,142,True
16,civic,seating,bend,630.75,147.4,76.4,34,3.6,0.2,142,True
16,civic,seating,south,630.75,147.4,92.2,41,1.6,0.17,142,True
17,civic,seating,east,632.27,152.3,70.0,31,2.8,0.28,117,True
17,civic,seating,bend,632.24,152.3,79.2,35,3.3,0.2,117,True
17,civic,seating,south,632.3,152.3,95.2,42,1.7,0.17,117,True
18,civic,seating,east,633.67,156.8,72.1,32,2.6,0.24,104,True
18,civic,seating,bend,633.66,156.8,81.9,36,4.8,0.22,104,True
18,civic,seating,south,633.67,156.8,98.2,44,2.2,0.18,104,True
19,civic,seating,east,635.09,161.5,74.2,33,3.4,0.25,86,True
19,civic,seating,bend,635.09,161.5,84.4,37,5.2,0.19,86,True
19,civic,seating,south,635.08,161.5,100.3,44,2.4,0.12,86,True
20,civic,seating,east,636.47,166.6,77.3,34,2.2,0.19,55,True
20,civic,seating,bend,636.47,166.6,87.6,39,4.5,0.15,55,True
20,civic,seating,south,636.48,166.6,104.6,46,1.8,0.19,55,True
21,civic,seating,bend,637.72,171.5,90.3,40,5.4,0.21,31,True
22,civic,seating,bend,638.9,175.7,92.5,41,7.4,0.21,44,True
23,civic,seating,bend,640.07,180.4,94.7,42,7.3,0.24,7,True
24,civic,seating,bend,641.37,185.1,97.8,43,7.0,0.21,42,True
25,civic,seating,bend,642.38,189.0,99.2,44,7.0,0.21,28,True
