row,radius_ft,dist_to_stage_ft,terrain_elev_navd88,proposed_tread_elev_navd88,row_rise_ft,cut_fill_ft,eye_elev_proposed,C_value_terrain_mm,C_value_proposed_mm,C_target_mm,meets_C_on_bare_terrain,meets_C_proposed,needs_regrade,seats_compact_18in,seats_generous_22in
1,85.0,35.0,613.54,613.54,1.04,0.0,617.48,,,90,True,True,False,89,73
2,88.0,38.0,614.27,614.29,0.75,0.02,618.23,86,91,90,False,True,False,92,75
3,91.0,41.0,614.97,615.07,0.78,0.1,619.01,69,93,90,False,True,False,95,78
4,94.0,44.0,615.99,616.0,0.93,0.01,619.94,157,129,90,True,True,False,98,80
5,97.0,47.0,616.93,616.94,0.94,0.01,620.88,124,123,90,True,True,False,101,83
6,100.0,50.0,617.74,617.79,0.85,0.05,621.73,79,90,90,False,True,False,104,86
7,103.0,53.0,618.67,618.68,0.89,0.01,622.62,110,97,90,True,True,False,108,88
8,106.0,56.0,619.81,619.81,1.13,0.0,623.75,162,161,90,True,True,False,111,91
9,109.0,59.0,620.68,620.73,0.92,0.05,624.67,78,92,90,False,True,False,114,93
10,112.0,62.0,621.54,621.66,0.93,0.12,625.6,71,90,90,False,True,False,117,96
11,115.0,65.0,622.66,622.67,1.01,0.01,626.61,143,109,90,True,True,False,120,98
12,118.0,68.0,623.97,623.97,1.3,0.0,627.91,192,189,90,True,True,False,123,101
13,121.0,71.0,625.15,625.16,1.19,0.01,629.1,146,149,90,True,True,False,126,104
14,124.0,74.0,626.17,626.18,1.02,0.01,630.12,95,93,90,True,True,False,130,106
15,127.0,77.0,627.32,627.33,1.15,0.01,631.27,127,128,90,True,True,False,133,109
16,130.0,80.0,628.52,628.53,1.2,0.01,632.47,137,138,90,True,True,False,136,111
