scenario,mills,pit_taxable,frontage_taxable,uplift,pit_tax,frontage_tax,annual_increment
A_status_quo,45.0,1280700.0,4809575.0,,57632,216431,0
B_amphitheater,45.0,0,4809575,0.0,0,216431,-57632
B_amphitheater,45.0,0,5050054,0.05,0,227252,-46810
B_amphitheater,45.0,0,5290532,0.1,0,238074,-35988
B_amphitheater,45.0,0,5771490,0.2,0,259717,-14345
C_tower_by_right,45.0,5000000.0,4809575.0,,225000,216431,167368
C_tower_by_right,45.0,8000000.0,4809575.0,,360000,216431,302368
C_tower_by_right,45.0,12000000.0,4809575.0,,540000,216431,482368
A_status_quo,48.0,1280700.0,4809575.0,,61474,230860,0
B_amphitheater,48.0,0,4809575,0.0,0,230860,-61474
B_amphitheater,48.0,0,5050054,0.05,0,242403,-49931
B_amphitheater,48.0,0,5290532,0.1,0,253946,-38388
B_amphitheater,48.0,0,5771490,0.2,0,277032,-15302
C_tower_by_right,48.0,5000000.0,4809575.0,,240000,230860,178526
C_tower_by_right,48.0,8000000.0,4809575.0,,384000,230860,322526
C_tower_by_right,48.0,12000000.0,4809575.0,,576000,230860,514526
A_status_quo,52.0,1280700.0,4809575.0,,66596,250098,0
B_amphitheater,52.0,0,4809575,0.0,0,250098,-66596
B_amphitheater,52.0,0,5050054,0.05,0,262603,-54092
B_amphitheater,52.0,0,5290532,0.1,0,275108,-41587
B_amphitheater,52.0,0,5771490,0.2,0,300117,-16577
C_tower_by_right,52.0,5000000.0,4809575.0,,260000,250098,193404
C_tower_by_right,52.0,8000000.0,4809575.0,,416000,250098,349404
C_tower_by_right,52.0,12000000.0,4809575.0,,624000,250098,557404
